,state,year,District,Murder
58,MIZORAM,2002,SERCHHIP,6
59,MIZORAM,2002,CHAMPHAI,6
60,NAGALAND,2002,DIMAPUR,32
61,ODISHA,2002,SUNDARGARH,87
62,PUNJAB,2002,LUDHIANA,68
63,RAJASTHAN,2002,BHARATPUR,87
64,SIKKIM,2002,EAST,6
65,TAMIL NADU,2002,DHARMAPURI,94
66,TRIPURA,2002,WEST,113
67,UTTAR PRADESH,2002,MUZAFFARNAGAR,287
68,UTTARAKHAND,2002,HARIDWAR,75
69,WEST BENGAL,2002,24 PARGANAS NORTH,204
70,A & N ISLANDS,2002,ANDAMAN,14
71,CHANDIGARH,2002,TOTAL,31
72,CHANDIGARH,2002,CHANDIGARH,31
73,D & N HAVELI,2002,TOTAL,11
74,D & N HAVELI,2002,D and N HAVELI,11
75,DAMAN & DIU,2002,DAMAN,7
76,DELHI UT,2002,DELHI UT TOTAL,531
77,LAKSHADWEEP,2002,TOTAL,0
78,LAKSHADWEEP,2002,LAKSHADWEEP,0
79,PUDUCHERRY,2002,TOTAL,29
80,PUDUCHERRY,2002,PONDICHERRY,29
81,ANDHRA PRADESH,2003,GUNTUR,210
82,ARUNACHAL PRADESH,2003,LOHIT,16
83,ASSAM,2003,DIBRUGARH,107
84,BIHAR,2003,PATNA,484
85,CHHATTISGARH,2003,BILASPUR,95
86,GOA,2003,NORTH GOA,22
87,GUJARAT,2003,AHMEDABAD COMMR.,90
88,HARYANA,2003,SONIPAT,62
89,HARYANA,2003,GURGAON,62
90,HIMACHAL PRADESH,2003,KANGRA,38
91,JAMMU & KASHMIR,2003,POONCH,111
92,JHARKHAND,2003,RANCHI,250
93,KARNATAKA,2003,BANGALORE COMMR.,216
94,KERALA,2003,PALAKKAD,52
95,MADHYA PRADESH,2003,JHABUA,119
96,MAHARASHTRA,2003,MUMBAI,242
97,MANIPUR,2003,IMPHAL(WEST),28
98,MEGHALAYA,2003,JAINTIA HILLS,52
99,MIZORAM,2003,AIZAWL,14
100,NAGALAND,2003,KOHIMA,28
101,ODISHA,2003,SUNDARGARH,83
102,PUNJAB,2003,LUDHIANA,64
103,RAJASTHAN,2003,JAIPUR,92
104,SIKKIM,2003,EAST,7
105,TAMIL NADU,2003,DHARMAPURI,90
106,TRIPURA,2003,WEST,136
107,UTTAR PRADESH,2003,BAREILLY,194
108,UTTARAKHAND,2003,HARIDWAR,75
109,WEST BENGAL,2003,24 PARGANAS NORTH,193
110,A & N ISLANDS,2003,ANDAMAN,16
111,CHANDIGARH,2003,TOTAL,21
112,CHANDIGARH,2003,CHANDIGARH,21
113,D & N HAVELI,2003,TOTAL,11
114,D & N HAVELI,2003,D and N HAVELI,11
